EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,BusinessTravel,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,DistanceFromHome,Attrition
EMP0001,36,Female,Research & Development,Research Scientist,Bachelor,Technical Degree,Single,Travel_Rarely,8035,21,10,7,4,16,5,Yes,3,4,1,4,4,4,29,No
EMP0002,48,Male,Research & Development,Research Scientist,Below College,Medical,Married,Travel_Rarely,7477,15,9,2,6,12,6,No,3,3,1,1,3,3,12,No
EMP0003,56,Male,Research & Development,Research Director,Doctor,Other,Single,Non-Travel,14433,24,13,0,3,14,7,No,2,2,2,4,2,3,21,Yes
EMP0004,45,Female,Research & Development,Laboratory Technician,Master,Human Resources,Divorced,Travel_Rarely,4581,17,12,8,12,18,3,No,1,4,1,4,4,3,7,No
EMP0005,55,Female,IT,IT Manager,Master,Medical,Single,Travel_Rarely,11480,18,0,0,0,7,2,No,1,3,4,4,2,4,9,Yes
EMP0006,34,Female,Finance,Financial Analyst,Master,Technical Degree,Divorced,Travel_Frequently,6009,14,2,2,2,2,0,Yes,2,1,3,3,1,3,21,No
EMP0007,41,Male,IT,IT Manager,Bachelor,Human Resources,Married,Travel_Rarely,12823,11,10,9,6,13,7,No,1,1,3,2,1,4,15,Yes
EMP0008,33,Male,Sales,Sales Executive,College,Technical Degree,Married,Travel_Rarely,5810,11,6,1,2,6,6,Yes,3,1,2,2,4,3,4,No
EMP0009,38,Male,Sales,Sales Manager,Bachelor,Marketing,Married,Non-Travel,10932,11,5,4,3,6,0,No,1,4,3,2,4,3,1,No
EMP0010,39,Male,Research & Development,Research Director,Bachelor,Other,Divorced,Travel_Frequently,14632,17,7,0,2,10,2,No,3,2,2,3,3,3,23,No
EMP0011,40,Male,Research & Development,Research Director,Master,Human Resources,Single,Travel_Rarely,16138,18,15,15,2,18,1,No,4,3,1,4,4,4,22,Yes
EMP0012,57,Male,Research & Development,Research Scientist,Bachelor,Other,Married,Travel_Frequently,5858,14,0,0,0,3,2,No,4,4,4,3,3,3,22,Yes
EMP0013,55,Female,IT,Data Analyst,Bachelor,Life Sciences,Divorced,Travel_Rarely,10571,13,20,0,14,27,5,No,4,3,4,1,4,3,21,No
EMP0014,42,Female,Human Resources,HR Executive,College,Marketing,Single,Travel_Rarely,4698,19,0,0,0,7,7,Yes,2,3,2,2,3,3,1,No
EMP0015,50,Female,Sales,Sales Representative,Master,Technical Degree,Married,Travel_Rarely,3974,23,9,6,9,11,6,No,4,2,3,1,4,4,22,No
EMP0016,43,Female,Research & Development,Laboratory Technician,College,Other,Married,Travel_Rarely,6094,21,21,16,19,22,3,No,4,1,1,4,1,3,16,No
EMP0017,51,Male,Marketing,Marketing Manager,Bachelor,Other,Single,Travel_Rarely,13141,15,18,16,18,21,4,No,2,1,2,3,3,3,21,Yes
EMP0018,26,Male,Finance,Accountant,College,Human Resources,Married,Travel_Rarely,5423,19,4,2,3,5,5,No,1,2,4,1,3,3,5,No
EMP0019,26,Male,Research & Development,Laboratory Technician,Bachelor,Marketing,Divorced,Travel_Rarely,2691,20,3,1,3,9,2,Yes,4,1,4,1,1,3,28,No
EMP0020,33,Female,Sales,Sales Executive,Bachelor,Medical,Single,Travel_Frequently,6912,23,2,0,0,9,0,No,1,4,3,2,2,3,7,No
EMP0021,32,Female,Sales,Sales Executive,Bachelor,Other,Married,Travel_Rarely,7608,20,7,3,0,11,6,No,1,1,4,4,3,4,13,No
EMP0022,51,Female,IT,Data Analyst,Bachelor,Medical,Married,Travel_Rarely,8565,13,16,16,15,16,2,No,1,4,4,1,1,4,12,No
EMP0023,42,Male,Research & Development,Research Director,College,Medical,Divorced,Travel_Frequently,14386,20,3,0,2,10,5,No,2,3,2,3,2,3,7,Yes
EMP0024,30,Female,Research & Development,Manager,Bachelor,Technical Degree,Single,Travel_Rarely,9823,16,1,0,1,2,5,Yes,3,4,4,1,1,4,7,No
EMP0025,40,Male,Research & Development,Laboratory Technician,Bachelor,Technical Degree,Single,Travel_Frequently,3418,24,6,5,2,10,5,No,2,4,4,4,1,4,21,No
EMP0026,53,Male,Marketing,Marketing Executive,Doctor,Other,Married,Travel_Frequently,6304,22,12,12,4,19,0,Yes,1,4,3,3,4,3,11,Yes
EMP0027,37,Male,Research & Development,Manager,Bachelor,Life Sciences,Single,Travel_Rarely,12687,20,7,5,3,14,4,Yes,4,4,2,4,2,3,28,No
EMP0028,56,Female,Sales,Sales Executive,Doctor,Life Sciences,Married,Travel_Rarely,6473,12,5,1,2,12,0,Yes,2,4,2,2,3,3,22,Yes
EMP0029,34,Female,IT,Software Engineer,Master,Medical,Divorced,Travel_Rarely,6226,15,0,0,0,1,5,No,4,3,2,4,1,3,9,No
EMP0030,34,Female,Sales,Sales Manager,Bachelor,Human Resources,Single,Travel_Rarely,11290,22,3,1,0,3,0,No,3,4,3,2,2,3,16,No
EMP0031,36,Male,Research & Development,Research Director,Bachelor,Technical Degree,Single,Travel_Rarely,11690,22,4,4,1,6,0,No,2,2,2,2,2,3,5,No
EMP0032,38,Male,IT,IT Support,College,Other,Married,Travel_Rarely,3804,15,9,0,3,16,3,Yes,2,1,2,3,3,3,24,Yes
EMP0033,24,Male,Research & Development,Manager,Master,Life Sciences,Married,Travel_Rarely,10392,15,2,0,1,6,0,No,1,2,4,2,1,3,26,No
EMP0034,43,Female,IT,Software Engineer,Bachelor,Technical Degree,Married,Travel_Rarely,10732,11,14,7,13,16,4,No,2,4,1,4,1,3,26,No
EMP0035,28,Male,Sales,Sales Manager,Bachelor,Medical,Married,Travel_Rarely,11117,20,2,2,2,7,4,No,2,3,3,3,4,3,20,Yes
EMP0036,24,Female,Research & Development,Laboratory Technician,Master,Marketing,Married,Travel_Frequently,2917,16,0,0,0,4,4,No,2,3,4,4,1,3,25,Yes
EMP0037,42,Female,Sales,Sales Representative,Master,Technical Degree,Divorced,Travel_Frequently,3663,24,5,5,3,10,5,Yes,3,4,3,1,3,3,22,No
EMP0038,23,Male,Sales,Sales Representative,Master,Other,Single,Travel_Rarely,3451,23,0,0,0,2,2,Yes,4,1,2,2,2,4,4,No
EMP0039,54,Male,Research & Development,Research Director,Master,Marketing,Married,Travel_Frequently,11119,12,5,1,1,9,5,Yes,1,4,2,4,1,3,28,Yes
EMP0040,32,Male,Marketing,Marketing Manager,Master,Marketing,Married,Travel_Frequently,11885,16,8,1,2,10,0,Yes,4,4,1,4,3,4,13,Yes
EMP0041,29,Male,Human Resources,HR Manager,Bachelor,Marketing,Married,Travel_Rarely,9346,11,6,5,2,10,7,Yes,1,1,1,3,3,3,20,Yes
EMP0042,54,Female,IT,Software Engineer,College,Human Resources,Single,Travel_Frequently,9900,23,19,6,3,23,7,No,1,3,3,1,2,3,20,No
EMP0043,29,Male,Research & Development,Research Scientist,Bachelor,Medical,Divorced,Travel_Rarely,7608,13,4,4,3,7,4,No,3,4,4,2,3,3,8,No
EMP0044,54,Male,Research & Development,Research Scientist,Master,Life Sciences,Divorced,Travel_Rarely,10087,14,14,7,11,16,5,No,1,4,1,4,3,3,5,No
EMP0045,57,Male,Marketing,Marketing Manager,Bachelor,Marketing,Divorced,Travel_Rarely,10254,15,21,0,21,27,2,Yes,3,1,1,1,2,4,2,Yes
EMP0046,45,Male,Marketing,Content Specialist,Bachelor,Other,Single,Travel_Frequently,5510,23,6,3,5,10,0,No,3,3,2,2,4,3,7,No
EMP0047,51,Male,Human Resources,HR Executive,Bachelor,Life Sciences,Married,Travel_Rarely,6570,11,22,18,18,27,6,No,1,1,2,4,4,3,4,No
EMP0048,24,Male,Sales,Sales Executive,Master,Human Resources,Married,Travel_Rarely,6009,17,1,1,0,6,4,Yes,3,4,4,2,3,3,3,Yes
EMP0049,29,Male,IT,IT Manager,College,Human Resources,Single,Travel_Rarely,13222,21,1,0,1,8,3,No,4,4,4,1,2,3,29,No
EMP0050,22,Male,Research & Development,Laboratory Technician,Bachelor,Technical Degree,Single,Travel_Frequently,3079,20,0,0,0,6,3,No,3,2,3,3,3,3,24,Yes
EMP0051,44,Male,Sales,Sales Representative,Below College,Medical,Married,Travel_Frequently,5077,17,16,16,13,16,0,No,1,2,2,3,2,4,6,Yes
EMP0052,46,Male,Sales,Sales Executive,Doctor,Medical,Married,Travel_Rarely,5734,15,5,1,3,11,5,No,3,1,3,2,3,3,2,No
EMP0053,22,Female,Sales,Sales Manager,Bachelor,Other,Single,Travel_Rarely,8418,23,0,0,0,2,1,No,1,3,4,3,4,4,4,No
EMP0054,56,Female,Human Resources,Recruiter,Bachelor,Marketing,Divorced,Travel_Rarely,8044,19,19,10,16,24,3,No,2,2,1,1,1,3,19,No
EMP0055,33,Female,Sales,Sales Representative,Master,Other,Married,Travel_Frequently,4143,20,2,0,2,4,1,No,1,3,1,3,4,3,25,No
EMP0056,47,Female,Finance,Finance Manager,Bachelor,Other,Single,Travel_Rarely,12579,20,8,6,0,14,2,No,3,2,3,1,3,3,10,No
EMP0057,52,Female,Finance,Financial Analyst,Bachelor,Medical,Married,Travel_Rarely,7932,15,23,2,11,26,3,No,3,4,2,3,3,3,2,No
EMP0058,55,Female,Sales,Sales Representative,Bachelor,Life Sciences,Married,Travel_Rarely,7838,21,22,12,12,23,6,Yes,3,2,4,1,2,3,20,No
EMP0059,24,Male,IT,IT Support,College,Marketing,Divorced,Travel_Rarely,3390,12,0,0,0,5,2,Yes,2,1,1,4,1,4,28,Yes
EMP0060,45,Male,Research & Development,Manager,Below College,Medical,Married,Travel_Rarely,15091,18,10,1,8,16,4,Yes,4,1,3,2,1,4,22,Yes
EMP0061,30,Male,Marketing,Marketing Executive,Bachelor,Other,Divorced,Travel_Rarely,4235,12,2,1,0,6,7,Yes,2,2,1,4,3,4,3,Yes
EMP0062,30,Female,Sales,Sales Executive,Bachelor,Other,Divorced,Non-Travel,5068,18,2,0,1,5,3,No,1,1,3,3,2,3,5,Yes
EMP0063,53,Female,Marketing,Marketing Manager,Master,Life Sciences,Divorced,Non-Travel,12202,23,18,2,7,19,2,No,1,2,4,3,4,3,6,No
EMP0064,52,Male,Sales,Sales Executive,Bachelor,Life Sciences,Married,Travel_Rarely,7810,17,22,9,9,29,3,Yes,3,2,4,2,2,4,24,Yes
EMP0065,27,Female,IT,IT Manager,College,Technical Degree,Single,Travel_Rarely,12117,22,2,1,2,3,0,Yes,4,3,2,1,1,4,22,No
EMP0066,39,Male,Finance,Finance Manager,Below College,Medical,Single,Travel_Frequently,13824,14,17,13,14,21,0,No,1,4,3,1,3,4,3,No
EMP0067,36,Female,Research & Development,Research Director,Bachelor,Marketing,Divorced,Travel_Rarely,11745,24,6,4,4,8,4,Yes,4,2,3,3,3,4,3,No
EMP0068,36,Female,Research & Development,Laboratory Technician,Master,Other,Married,Non-Travel,3455,22,1,0,0,8,4,Yes,2,3,4,4,3,4,12,No
EMP0069,24,Male,Sales,Sales Representative,Bachelor,Marketing,Divorced,Non-Travel,2966,24,1,0,0,6,4,Yes,4,4,4,1,2,3,18,No
EMP0070,52,Male,Finance,Financial Analyst,Master,Technical Degree,Married,Travel_Rarely,7525,18,5,2,4,5,1,No,3,2,3,4,1,3,28,Yes
EMP0071,54,Female,Sales,Sales Executive,College,Marketing,Single,Travel_Frequently,6708,16,8,0,3,9,6,Yes,3,2,2,2,2,4,9,No
EMP0072,49,Female,Finance,Financial Analyst,Bachelor,Technical Degree,Single,Travel_Frequently,8582,16,19,14,6,21,1,Yes,2,2,2,3,3,3,19,Yes
EMP0073,29,Male,Marketing,Marketing Executive,Bachelor,Life Sciences,Divorced,Travel_Rarely,4891,13,4,4,2,7,4,Yes,2,1,4,4,1,3,26,Yes
EMP0074,25,Female,IT,IT Manager,Bachelor,Medical,Divorced,Travel_Rarely,12484,11,3,3,1,6,4,No,3,4,1,4,2,4,12,No
EMP0075,42,Male,Research & Development,Laboratory Technician,Master,Other,Married,Travel_Rarely,5603,17,14,0,2,15,1,No,2,4,2,2,2,3,7,No
EMP0076,46,Male,Sales,Sales Manager,Bachelor,Medical,Married,Non-Travel,11565,18,24,1,2,28,4,Yes,4,4,4,1,3,3,20,Yes
EMP0077,41,Male,Human Resources,HR Executive,Bachelor,Medical,Single,Non-Travel,5909,18,10,4,4,13,5,Yes,4,3,3,2,4,3,5,No
EMP0078,54,Male,Marketing,Marketing Executive,Bachelor,Other,Single,Non-Travel,6909,21,16,13,11,17,4,No,3,2,2,1,2,4,20,Yes
EMP0079,29,Male,Finance,Financial Analyst,Bachelor,Medical,Divorced,Travel_Rarely,6665,16,1,0,0,7,3,No,1,3,2,3,2,3,27,Yes
EMP0080,25,Male,Marketing,Marketing Manager,Master,Life Sciences,Divorced,Travel_Rarely,8239,24,0,0,0,0,4,Yes,1,4,1,1,2,3,9,No
EMP0081,25,Male,Sales,Sales Representative,Bachelor,Human Resources,Married,Travel_Rarely,3797,13,1,0,1,2,0,Yes,1,3,1,4,2,3,17,Yes
EMP0082,47,Male,Human Resources,Recruiter,Bachelor,Medical,Married,Travel_Rarely,5656,24,10,2,7,15,3,No,1,3,1,2,4,3,15,Yes
EMP0083,27,Male,Research & Development,Research Director,Doctor,Other,Single,Travel_Rarely,13201,17,5,1,3,7,3,Yes,3,3,4,3,1,4,16,No
EMP0084,48,Female,Research & Development,Laboratory Technician,Master,Life Sciences,Married,Travel_Rarely,4338,24,14,11,2,21,3,No,2,2,1,1,4,4,20,Yes
